"ID";"method";"file";"N";"M";"DIST";"kvar_obj";"kmeans_obj";"means_obj";"sd_obj"
"A0F1R6X7";"ace-exchange";"N180_M3_normal_A0F1R6X7";180;3;"normal";1152.22583582663;553.10334694356;0.0184279230537744;0.0652790524066548
"A0F1R6X7";"k-means-exchange";"N180_M3_normal_A0F1R6X7";180;3;"normal";1137.64378006243;553.131170488036;0.00263766839863555;0.212200713503671
"A0F1R6X7";"kplus";"N180_M3_normal_A0F1R6X7";180;3;"normal";1153.59135307062;553.130175149811;0.00424631661771321;0.0030286639672998
"A0F1R6X7";"random";"N180_M3_normal_A0F1R6X7";180;3;"normal";1134.24593955681;543.913095040606;0.337183335445524;0.212970183953058
"A0X4S1O9";"ace-exchange";"N216_M1_uniform_A0X4S1O9";216;1;"uniform";1.08601256470576;16.1682566465245;0.00161860858228202;0.00113816604798539
"A0X4S1O9";"k-means-exchange";"N216_M1_uniform_A0X4S1O9";216;1;"uniform";1.06603755119737;16.1683468489419;1.90676655625888e-06;0.0434892203322172
"A0X4S1O9";"kplus";"N216_M1_uniform_A0X4S1O9";216;1;"uniform";1.0860258080056;16.1683468470926;7.90523416871469e-06;2.96974053914378e-05
"A0X4S1O9";"random";"N216_M1_uniform_A0X4S1O9";216;1;"uniform";1.08018881290831;16.0521640484827;0.0544717235154368;0.0256213640254133
"A1U2Q4F7";"ace-exchange";"N300_M4_uniform_A1U2Q4F7";300;4;"uniform";6.31526089641344;99.8091641172099;0.00326822212043527;0.00872930424681677
"A1U2Q4F7";"k-means-exchange";"N300_M4_uniform_A1U2Q4F7";300;4;"uniform";6.24464651237084;99.81098739769;0.000883225041131169;0.0339651756217593
"A1U2Q4F7";"kplus";"N300_M4_uniform_A1U2Q4F7";300;4;"uniform";6.32069596283656;99.8108160392949;0.00125588064702851;0.00214207661336348
"A1U2Q4F7";"random";"N300_M4_uniform_A1U2Q4F7";300;4;"uniform";6.28329400130756;98.6017387557847;0.0727697614083688;0.0267041382924273
"A1U4L8Z6";"ace-exchange";"N300_M1_normal_A1U4L8Z6";300;1;"normal";582.103467074896;294.052909274634;0.0153111251800685;0.0516094965839123
"A1U4L8Z6";"k-means-exchange";"N300_M1_normal_A1U4L8Z6";300;1;"normal";580.352114368823;294.063816866909;4.47716787508809e-06;0.0937540368611043
"A1U4L8Z6";"kplus";"N300_M1_normal_A1U4L8Z6";300;1;"normal";582.539793287305;294.063816861193;1.20858102862845e-05;6.89910675721883e-06
"A1U4L8Z6";"random";"N300_M1_normal_A1U4L8Z6";300;1;"normal";578.028568557261;289.07670651508;0.332143766861148;0.15604324504265
"A1X4L6I8";"ace-exchange";"N156_M1_uniform_A1X4L6I8";156;1;"uniform";0.894630699532597;13.8030572661541;0.00234755211008286;0.00302139368254384
"A1X4L6I8";"k-means-exchange";"N156_M1_uniform_A1X4L6I8";156;1;"uniform";0.869010727581146;13.8031882621619;1.93798675746093e-06;0.0562745462826575
"A1X4L6I8";"kplus";"N156_M1_uniform_A1X4L6I8";156;1;"uniform";0.894694472724799;13.8031882545728;1.62506356642944e-05;3.0297738879137e-05
"A1X4L6I8";"random";"N156_M1_uniform_A1X4L6I8";156;1;"uniform";0.857615306901511;13.7896294349062;0.0248843086943127;0.0720641510603773
"A2P4W8H9";"ace-exchange";"N36_M2_normal_A2P4W8H9";36;2;"normal";211.182980401916;93.2699906561603;0.15172755254367;0.331616879291286
"A2P4W8H9";"k-means-exchange";"N36_M2_normal_A2P4W8H9";36;2;"normal";197.040438062305;93.6233658539088;0.015454310929327;0.560870024988526
"A2P4W8H9";"kplus";"N36_M2_normal_A2P4W8H9";36;2;"normal";216.760034634591;93.5972453871214;0.0504636293142064;0.0464439038561161
"A2P4W8H9";"random";"N36_M2_normal_A2P4W8H9";36;2;"normal";210.216808551889;90.3543772467661;0.497516766621947;0.316982195496913
"A2Q6Z5D4";"ace-exchange";"N48_M2_normal_A2Q6Z5D4";48;2;"normal";154.784690486386;92.727148020795;0.0692235201956836;0.230856570507096
"A2Q6Z5D4";"k-means-exchange";"N48_M2_normal_A2Q6Z5D4";48;2;"normal";154.55355889323;92.8094142321173;0.0113838506278817;0.23059192881331
"A2Q6Z5D4";"kplus";"N48_M2_normal_A2Q6Z5D4";48;2;"normal";157.934636022748;92.8025541803247;0.0228493618999041;0.0173808556305762
"A2Q6Z5D4";"random";"N48_M2_normal_A2Q6Z5D4";48;2;"normal";143.476650280736;88.173151548316;0.451404639180512;0.426671327447683
"A3M6E2F7";"ace-exchange";"N252_M2_normal-wide_A3M6E2F7";252;2;"normal-wide";14299.7673021495;1968.32605181993;0.0138049532540241;0.0561408557969869
