"file";"ID";"N";"M";"DIST";"method";"result"
"N264_M7_normal-wide_O2V7I3Q5";"O2V7I3Q5";264;7;"normal-wide";"ace-exchange";"3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 1, 2, 3, 1, 1, 1, 2, 2, 3, 2, 3, 2, 2, 2, 3, 1, 1, 3, 2, 2, 2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 1, 1, 1, 3, 2, 3, 2, 2, 1, 3, 2, 1, 3, 2, 1, 2, 3, 1, 3, 1, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 2, 3, 2, 2, 3, 2, 2, 2, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 2, 1, 2, 2, 2, 1, 3, 3, 3, 1, 3, 3, 2, 3, 3, 1, 3, 1, 1, 1, 3, 3, 1, 3, 2, 2, 3, 1, 3, 1, 1, 3, 2, 1, 1, 3, 3, 3, 2, 1, 3, 1, 1, 2, 3, 3, 2, 2, 2, 1, 3, 2, 1, 2, 1, 2, 3, 2, 2, 1, 3, 1, 3, 3, 1, 2, 3, 3, 2, 3, 2, 2, 1, 3, 1, 3, 1, 1, 3, 2, 2, 3, 1, 3, 1, 1, 3, 2, 1, 1, 1, 2, 2, 3, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 1, 3, 2, 1, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 2, 3, 1, 1, 1, 1, 3, 1, 2, 1, 1, 3, 2, 3, 2, 2, 1, 3, 3, 2, 2, 3, 2, 3, 3, 2, 1, 1, 1, 2, 1, 2, 2, 1, 3, 3, 2, 3, 3, 1, 1"
"N264_M7_normal-wide_O2V7I3Q5";"O2V7I3Q5";264;7;"normal-wide";"k-means-exchange";"3, 3, 2, 1, 1, 3, 3, 3, 1, 3, 3, 3, 2, 1, 1, 1, 1, 1, 3, 2, 2, 3, 2, 1, 1, 2, 1, 3, 2, 3, 2, 2, 2, 3, 3, 1, 2, 3, 1, 1, 2, 1, 1, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 3, 2, 3, 1, 2, 3, 2, 2, 3, 2, 1, 1, 3, 2, 1, 1, 3, 2, 2, 2, 1, 2, 3, 1, 2, 1, 2, 2, 3, 2, 3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 3, 2, 2, 2, 2, 3, 3, 3, 1, 2, 2, 1, 3, 3, 3, 3, 1, 1, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 1, 2, 1, 3, 3, 3, 2, 2, 3, 3, 1, 1, 1, 2, 3, 3, 1, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 3, 1, 1, 3, 1, 3, 1, 2, 3, 2, 3, 1, 3, 3, 3, 1, 2, 3, 1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 1, 3, 2, 3, 2, 3, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 1, 1, 2, 2, 3, 1, 2, 2, 1, 3, 1, 1, 2, 3, 1, 2, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 2, 3, 3, 1, 3, 3, 3, 2, 3, 2, 3, 2, 3, 1, 1, 1, 1, 3, 3, 2, 1, 1, 1, 1, 3, 2, 3, 3, 1, 1, 2, 2, 3, 1, 1, 1, 1, 2, 2"
"N264_M7_normal-wide_O2V7I3Q5";"O2V7I3Q5";264;7;"normal-wide";"kplus";"1, 1, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, 1, 1, 3, 3, 1, 2, 1, 3, 2, 1, 3, 3, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 3, 3, 2, 1, 1, 3, 3, 3, 1, 2, 3, 2, 3, 2, 3, 2, 2, 1, 1, 1, 3, 3, 1, 2, 1, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 3, 1, 1, 3, 2, 2, 2, 2, 2, 1, 3, 3, 2, 3, 1, 1, 1, 3, 2, 3, 1, 1, 3, 1, 3, 3, 2, 1, 3, 1, 3, 2, 2, 2, 1, 3, 1, 1, 1, 2, 1, 2, 2, 2, 3, 3, 1, 3, 3, 3, 3, 3, 2, 1, 1, 1, 3, 1, 3, 3, 1, 2, 2, 1, 2, 1, 3, 2, 1, 2, 2, 1, 2, 1, 3, 2, 1, 3, 2, 2, 1, 2, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 1, 2, 2, 3, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 1, 1, 3, 2, 3, 1, 3, 2, 3, 1, 2, 3, 3, 1, 3, 3, 1, 1, 2, 3, 2, 3, 3, 3, 3, 1, 3, 1, 2, 1, 2, 1, 1, 3, 3, 2, 3, 1, 2, 3, 1, 1, 2, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 1, 2, 1, 1, 3, 2, 2, 1, 1, 2, 3, 3, 3, 3"
"N264_M7_normal-wide_O2V7I3Q5";"O2V7I3Q5";264;7;"normal-wide";"random";"2, 3, 1, 3, 3, 1, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 2, 3, 2, 3, 1, 2, 2, 2, 3, 3, 1, 3, 2, 2, 1, 3, 1, 3, 3, 1, 3, 3, 1, 1, 2, 2, 2, 2, 3, 3, 1, 2, 1, 1, 3, 3, 2, 2, 1, 1, 2, 2, 3, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 1, 1, 2, 2, 2, 3, 1, 1, 3, 2, 1, 1, 3, 1, 3, 3, 1, 1, 3, 2, 1, 3, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 3, 2, 3, 1, 3, 1, 3, 3, 2, 1, 2, 2, 1, 3, 3, 2, 1, 2, 1, 3, 2, 3, 3, 2, 1, 3, 3, 3, 2, 1, 2, 3, 2, 1, 3, 3, 2, 1, 1, 1, 3, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 1, 3, 2, 3, 1, 3, 3, 1, 1, 3, 3, 2, 3, 1, 2, 1, 2, 2, 3, 1, 2, 2, 3, 1, 1, 3, 1, 2, 2, 1, 3, 1, 3, 1, 1, 3, 3, 1, 1, 2, 1, 3, 3, 1, 2, 1, 2, 3, 3, 1, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 1, 3, 2, 3, 1, 3, 1, 2, 3, 3, 1, 1, 2, 2, 1, 1, 1, 2, 3, 2, 3, 2, 1, 1, 1, 3, 3, 3, 2, 2, 2, 1, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 1, 1, 1, 2, 1"
"N60_M5_normal-wide_Z3X4T9L5";"Z3X4T9L5";60;5;"normal-wide";"ace-exchange";"1, 1, 3, 3, 3, 1, 1, 3, 2, 3, 1, 2, 3, 3, 2, 3, 1, 2, 1, 1, 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 3, 1, 3, 2, 1, 2, 2, 1, 1, 2, 3, 3, 2, 3, 2, 2, 3, 2, 1, 3, 2, 1, 1, 2, 2, 3, 1, 3"
"N60_M5_normal-wide_Z3X4T9L5";"Z3X4T9L5";60;5;"normal-wide";"k-means-exchange";"3, 2, 2, 2, 1, 1, 1, 3, 2, 3, 2, 2, 1, 3, 1, 3, 2, 1, 1, 3, 1, 3, 1, 3, 1, 3, 2, 3, 1, 1, 3, 2, 3, 2, 1, 3, 3, 2, 1, 1, 1, 2, 3, 2, 2, 3, 1, 3, 1, 3, 2, 1, 3, 1, 3, 2, 2, 2, 2, 2"
"N60_M5_normal-wide_Z3X4T9L5";"Z3X4T9L5";60;5;"normal-wide";"kplus";"1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 3, 1, 1, 3, 2, 2, 1, 1, 3, 2, 1, 2, 1, 2, 3, 2, 2, 2, 3, 3, 3, 1, 3, 1, 3, 3, 1, 1, 2, 1, 2, 1, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 1, 2, 1, 2"
"N60_M5_normal-wide_Z3X4T9L5";"Z3X4T9L5";60;5;"normal-wide";"random";"1, 2, 3, 2, 2, 1, 3, 2, 3, 1, 2, 3, 2, 2, 3, 3, 2, 3, 1, 2, 3, 3, 3, 1, 2, 3, 2, 3, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 3, 2, 2, 3, 3, 1, 1, 1, 1, 3, 1, 3, 3, 3, 1"
"N192_M5_normal-wide_I9Z1J4S6";"I9Z1J4S6";192;5;"normal-wide";"ace-exchange";"2, 2, 1, 2, 3, 2, 3, 3, 1, 3, 1, 2, 2, 3, 2, 3, 3, 1, 1, 3, 1, 1, 2, 3, 3, 1, 1, 1, 3, 1, 2, 2, 3, 3, 3, 2, 2, 1, 3, 2, 2, 1, 2, 3, 2, 3, 1, 1, 2, 1, 2, 1, 1, 3, 2, 3, 1, 1, 2, 2, 3, 3, 3, 1, 3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 1, 3, 1, 2, 3, 3, 1, 2, 2, 3, 1, 1, 1, 3, 2, 3, 3, 1, 3, 1, 1, 1, 2, 1, 3, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 1, 1, 3, 1, 2, 2, 3, 3, 1, 2, 3, 1, 2, 3, 3, 2, 1, 2, 1, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 3, 3, 1, 3, 1, 3, 3, 1, 2, 1, 3, 2, 1, 1, 2, 2, 1, 2, 3, 3, 1, 2, 2, 2, 3, 1, 3, 3, 2, 1, 1, 2, 3, 2, 2, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 3, 2, 1, 1"
"N192_M5_normal-wide_I9Z1J4S6";"I9Z1J4S6";192;5;"normal-wide";"k-means-exchange";"2, 2, 3, 1, 2, 2, 2, 3, 2, 2, 3, 1, 1, 1, 2, 1, 1, 3, 3, 3, 3, 1, 1, 1, 2, 3, 2, 2, 2, 3, 2, 1, 2, 2, 1, 1, 2, 3, 3, 2, 3, 1, 1, 1, 2, 3, 3, 2, 1, 3, 2, 3, 1, 2, 3, 1, 1, 1, 3, 3, 1, 2, 2, 3, 2, 1, 1, 1, 3, 2, 3, 3, 2, 1, 2, 3, 2, 2, 2, 2, 1, 1, 3, 1, 3, 1, 3, 3, 1, 2, 3, 3, 2, 2, 3, 1, 3, 2, 2, 3, 3, 1, 3, 1, 2, 3, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 2, 2, 3, 3, 2, 1, 1, 2, 3, 3, 2, 2, 2, 2, 1, 2, 3, 2, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 2, 3, 3, 2, 3, 2, 2, 3, 2, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 1, 2, 3, 1, 1, 1, 3, 3, 2, 3, 3, 3, 1, 1, 1, 3, 2, 1, 2, 3, 1, 2"
