"file";"ID";"N";"M";"DIST";"method";"result"
"N300_M4_uniform_I6D3Z1A0";"I6D3Z1A0";300;4;"uniform";"ace-exchange";"3, 2, 3, 4, 4, 1, 4, 4, 2, 3, 4, 4, 3, 4, 2, 4, 3, 4, 3, 2, 2, 3, 4, 1, 1, 4, 1, 4, 1, 2, 4, 1, 3, 3, 1, 4, 4, 4, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 2, 4, 4, 3, 4, 2, 1, 4, 1, 2, 4, 1, 2, 3, 1, 2, 1, 4, 3, 3, 1, 4, 2, 2, 3, 3, 2, 4, 2, 3, 2, 2, 3, 3, 3, 4, 1, 2, 2, 2, 1, 3, 4, 3, 1, 3, 2, 2, 1, 1, 3, 4, 3, 4, 4, 4, 1, 2, 3, 1, 1, 4, 4, 4, 4, 3, 1, 1, 4, 1, 2, 1, 1, 2, 4, 1, 4, 4, 2, 3, 3, 3, 3, 4, 4, 2, 1, 2, 4, 2, 1, 1, 3, 3, 2, 2, 4, 3, 2, 1, 1, 2, 1, 1, 4, 1, 2, 2, 2, 2, 4, 2, 2, 3, 4, 2, 3, 1, 1, 2, 2, 1, 4, 4, 4, 2, 3, 2, 2, 4, 4, 4, 1, 4, 3, 1, 1, 3, 3, 1, 3, 2, 1, 1, 3, 3, 4, 1, 2, 3, 3, 1, 2, 2, 1, 2, 2, 1, 4, 2, 2, 3, 2, 3, 1, 1, 1, 4, 4, 1, 2, 3, 4, 2, 3, 1, 2, 3, 1, 4, 3, 3, 2, 2, 4, 4, 1, 3, 3, 4, 3, 2, 4, 3, 3, 2, 1, 4, 1, 3, 2, 2, 3, 3, 4, 4, 4, 3, 1, 1, 4, 1, 3, 2, 1, 4, 2, 2, 4, 3, 3, 1, 1, 2, 1, 4, 3, 3, 2, 2, 3, 2, 1, 1, 1, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 1, 4, 3, 2, 2"
"N300_M4_uniform_I6D3Z1A0";"I6D3Z1A0";300;4;"uniform";"k-means-exchange";"4, 2, 3, 2, 2, 1, 3, 2, 3, 3, 1, 1, 4, 3, 2, 2, 4, 1, 1, 2, 2, 2, 2, 1, 1, 2, 3, 3, 2, 3, 2, 1, 4, 3, 4, 4, 2, 2, 4, 1, 3, 3, 4, 3, 2, 4, 3, 3, 3, 4, 1, 2, 2, 1, 4, 1, 4, 1, 1, 3, 1, 4, 4, 3, 3, 4, 2, 1, 1, 4, 2, 1, 3, 2, 4, 2, 2, 3, 1, 1, 1, 4, 3, 1, 2, 3, 2, 4, 4, 4, 4, 1, 1, 4, 2, 3, 3, 1, 4, 1, 1, 3, 3, 4, 3, 2, 1, 4, 4, 2, 2, 2, 4, 3, 1, 2, 4, 2, 2, 2, 1, 2, 1, 4, 2, 2, 3, 4, 3, 2, 4, 3, 4, 1, 4, 1, 4, 1, 2, 3, 1, 3, 3, 2, 4, 1, 1, 1, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 1, 1, 4, 1, 3, 1, 4, 1, 4, 1, 4, 3, 2, 3, 2, 3, 4, 2, 1, 3, 2, 1, 1, 2, 1, 3, 3, 3, 1, 4, 1, 4, 4, 4, 4, 4, 3, 1, 2, 3, 2, 1, 1, 2, 4, 3, 4, 4, 3, 3, 2, 4, 1, 3, 4, 4, 1, 4, 1, 4, 1, 3, 3, 1, 1, 4, 4, 1, 3, 1, 2, 2, 1, 2, 2, 2, 3, 1, 4, 1, 1, 3, 1, 3, 3, 1, 2, 4, 1, 2, 1, 4, 4, 3, 2, 4, 2, 2, 4, 4, 4, 2, 3, 2, 2, 1, 4, 3, 4, 1, 4, 3, 4, 1, 3, 3, 1, 3, 4, 2, 2, 3, 3, 3, 3, 2, 4, 2, 2, 1, 4, 4, 4, 1, 2, 2, 4, 2, 3"
"N300_M4_uniform_I6D3Z1A0";"I6D3Z1A0";300;4;"uniform";"kplus";"2, 2, 1, 3, 2, 2, 3, 2, 4, 3, 3, 2, 2, 1, 4, 2, 3, 2, 1, 1, 3, 3, 4, 2, 1, 2, 1, 4, 1, 4, 4, 1, 1, 1, 2, 2, 2, 1, 2, 4, 1, 4, 4, 2, 3, 1, 2, 2, 4, 3, 2, 3, 2, 3, 3, 1, 3, 1, 3, 2, 4, 3, 2, 4, 2, 3, 3, 4, 3, 4, 4, 1, 2, 3, 3, 3, 3, 4, 1, 3, 3, 1, 1, 2, 2, 3, 2, 4, 2, 4, 3, 4, 4, 4, 2, 4, 4, 1, 1, 3, 3, 2, 3, 4, 2, 1, 1, 4, 1, 3, 1, 3, 1, 4, 4, 2, 3, 1, 3, 4, 2, 3, 1, 4, 3, 4, 1, 3, 3, 4, 4, 3, 2, 1, 1, 4, 2, 4, 1, 2, 1, 3, 2, 1, 3, 3, 3, 1, 4, 1, 1, 2, 2, 3, 4, 3, 3, 4, 1, 1, 4, 1, 3, 1, 2, 1, 1, 4, 3, 3, 1, 2, 4, 1, 4, 1, 2, 4, 1, 3, 4, 2, 1, 4, 2, 2, 3, 4, 3, 1, 3, 4, 1, 4, 1, 3, 2, 2, 4, 4, 1, 2, 4, 1, 1, 2, 3, 1, 3, 4, 2, 1, 3, 4, 2, 1, 1, 1, 2, 1, 1, 1, 3, 3, 4, 3, 1, 2, 2, 2, 4, 2, 2, 4, 2, 4, 4, 1, 2, 1, 4, 4, 1, 4, 3, 1, 2, 1, 4, 3, 3, 2, 1, 4, 3, 4, 2, 3, 3, 2, 2, 2, 3, 4, 2, 2, 3, 4, 4, 3, 4, 1, 4, 3, 3, 4, 4, 3, 4, 1, 1, 2, 3, 1, 2, 2, 1, 2, 2, 3, 1, 3, 4, 2, 4, 3, 2, 2, 4, 4"
"N300_M4_uniform_I6D3Z1A0";"I6D3Z1A0";300;4;"uniform";"random";"3, 3, 3, 1, 2, 4, 4, 3, 1, 3, 2, 1, 1, 4, 2, 4, 4, 1, 1, 1, 4, 3, 4, 1, 1, 4, 1, 3, 2, 3, 3, 3, 2, 2, 3, 4, 2, 1, 3, 1, 4, 4, 2, 2, 3, 2, 3, 4, 1, 2, 3, 3, 1, 4, 1, 4, 3, 2, 3, 2, 4, 1, 3, 4, 4, 3, 3, 4, 1, 2, 1, 2, 1, 4, 2, 3, 3, 3, 4, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 4, 1, 1, 3, 2, 2, 1, 4, 1, 2, 1, 3, 2, 1, 1, 2, 4, 4, 3, 1, 2, 3, 4, 3, 1, 3, 1, 2, 2, 3, 3, 1, 4, 1, 3, 1, 2, 2, 1, 4, 3, 2, 1, 3, 3, 2, 1, 2, 3, 1, 4, 4, 4, 2, 4, 2, 3, 1, 3, 4, 3, 4, 1, 2, 1, 4, 4, 4, 2, 3, 3, 1, 1, 1, 2, 3, 4, 3, 2, 4, 2, 3, 3, 4, 3, 1, 3, 2, 3, 2, 1, 4, 2, 1, 1, 1, 1, 3, 1, 2, 3, 2, 2, 3, 2, 1, 2, 4, 3, 3, 4, 1, 2, 1, 2, 1, 4, 4, 3, 3, 2, 1, 3, 1, 4, 4, 2, 4, 4, 1, 4, 4, 2, 4, 2, 2, 2, 4, 4, 1, 1, 1, 3, 4, 3, 3, 2, 2, 1, 3, 4, 1, 4, 4, 2, 3, 4, 2, 1, 4, 2, 4, 2, 3, 3, 3, 4, 2, 3, 2, 3, 3, 4, 1, 2, 3, 4, 2, 4, 2, 2, 4, 2, 2, 1, 3, 1, 3, 2, 2, 1, 2, 4, 2, 1, 1, 1, 1, 3, 3, 2, 2, 2, 2, 4, 4, 1, 1, 4, 4, 4"
"N300_M9_uniform_D8R0G9B1";"D8R0G9B1";300;9;"uniform";"ace-exchange";"1, 3, 3, 2, 2, 4, 4, 4, 4, 4, 1, 4, 1, 2, 1, 3, 1, 3, 2, 2, 4, 3, 2, 3, 2, 3, 2, 2, 1, 4, 4, 3, 3, 3, 4, 1, 4, 4, 4, 3, 2, 3, 1, 2, 4, 4, 2, 2, 4, 1, 4, 3, 3, 4, 3, 2, 2, 2, 4, 1, 3, 4, 4, 2, 1, 1, 1, 4, 4, 1, 1, 1, 3, 3, 4, 4, 1, 3, 3, 2, 4, 3, 1, 1, 2, 1, 2, 4, 1, 1, 1, 3, 4, 4, 2, 2, 2, 2, 4, 1, 1, 2, 2, 3, 1, 3, 2, 4, 4, 2, 1, 4, 1, 3, 1, 1, 3, 2, 1, 2, 2, 3, 4, 3, 3, 4, 4, 1, 4, 3, 2, 4, 1, 2, 1, 2, 1, 1, 3, 3, 3, 2, 4, 2, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2, 4, 3, 1, 4, 2, 3, 3, 3, 3, 1, 3, 2, 3, 3, 2, 2, 2, 4, 2, 2, 4, 1, 4, 2, 4, 1, 3, 3, 2, 1, 1, 4, 1, 2, 2, 3, 2, 4, 3, 3, 2, 3, 1, 1, 4, 4, 4, 3, 2, 2, 1, 1, 3, 4, 2, 3, 1, 4, 3, 1, 4, 1, 2, 3, 3, 3, 2, 4, 1, 2, 3, 3, 3, 1, 1, 2, 3, 3, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 4, 4, 1, 4, 3, 2, 4, 4, 4, 2, 4, 1, 1, 3, 3, 3, 1, 4, 3, 1, 3, 1, 1, 2, 2, 1, 1, 4, 2, 3, 2, 2, 2, 1, 4, 3, 4, 4, 1, 4, 3, 2, 3, 1, 4, 4, 1, 1, 1, 3, 3, 3, 1, 2, 2, 1, 1, 2"
"N300_M9_uniform_D8R0G9B1";"D8R0G9B1";300;9;"uniform";"k-means-exchange";"3, 1, 4, 1, 1, 2, 1, 1, 1, 1, 3, 3, 2, 1, 4, 2, 2, 4, 3, 2, 2, 3, 3, 3, 1, 4, 3, 3, 1, 1, 4, 4, 4, 3, 4, 2, 3, 3, 4, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 1, 4, 4, 2, 2, 2, 2, 2, 4, 3, 4, 3, 4, 4, 4, 1, 1, 2, 2, 4, 4, 1, 4, 2, 3, 2, 4, 4, 3, 1, 1, 2, 2, 4, 1, 2, 3, 1, 1, 3, 2, 2, 1, 3, 4, 1, 3, 2, 4, 2, 2, 3, 2, 1, 2, 4, 3, 4, 3, 1, 4, 2, 3, 3, 2, 3, 4, 3, 1, 4, 4, 4, 1, 4, 4, 2, 3, 2, 3, 1, 2, 1, 3, 2, 4, 1, 2, 4, 4, 4, 3, 2, 2, 2, 1, 1, 2, 3, 1, 3, 4, 4, 4, 3, 3, 2, 3, 4, 3, 2, 1, 1, 3, 1, 3, 3, 1, 2, 3, 4, 2, 2, 1, 4, 1, 2, 3, 1, 1, 4, 4, 4, 1, 2, 1, 4, 3, 3, 2, 4, 1, 4, 2, 2, 2, 2, 4, 4, 4, 2, 3, 3, 3, 2, 4, 4, 2, 2, 1, 1, 3, 3, 2, 3, 3, 1, 2, 4, 4, 4, 3, 1, 2, 4, 2, 1, 1, 4, 3, 2, 2, 2, 2, 1, 4, 3, 4, 1, 3, 2, 3, 2, 3, 2, 1, 2, 3, 1, 3, 2, 4, 3, 3, 2, 4, 1, 2, 4, 4, 3, 1, 1, 3, 3, 2, 2, 1, 2, 1, 2, 2, 1, 4, 3, 3, 4, 1, 1, 4, 2, 4, 3, 4, 4, 1, 1, 3, 3, 3, 1, 2, 3, 3, 3, 1, 4, 4, 1, 3"
"N300_M9_uniform_D8R0G9B1";"D8R0G9B1";300;9;"uniform";"kplus";"4, 3, 3, 1, 2, 3, 2, 3, 3, 1, 4, 3, 3, 4, 2, 3, 4, 4, 2, 4, 2, 1, 4, 3, 2, 1, 2, 4, 1, 1, 4, 1, 3, 3, 2, 1, 2, 3, 3, 2, 1, 1, 2, 3, 4, 3, 2, 4, 4, 2, 1, 2, 3, 3, 1, 3, 1, 4, 2, 3, 4, 4, 4, 4, 1, 1, 2, 4, 2, 3, 1, 3, 1, 3, 3, 4, 1, 1, 1, 3, 4, 3, 3, 1, 2, 2, 4, 3, 4, 1, 4, 3, 1, 1, 3, 2, 2, 2, 1, 3, 4, 4, 4, 4, 1, 3, 2, 2, 3, 4, 1, 2, 3, 4, 4, 2, 4, 4, 3, 1, 2, 3, 2, 2, 1, 2, 1, 4, 3, 1, 1, 1, 4, 3, 4, 2, 3, 1, 3, 2, 3, 2, 3, 3, 2, 1, 2, 2, 2, 1, 1, 4, 1, 2, 3, 1, 3, 3, 2, 2, 4, 1, 3, 4, 4, 4, 1, 1, 4, 1, 4, 4, 2, 3, 4, 4, 2, 1, 4, 3, 1, 2, 2, 1, 1, 1, 4, 2, 4, 1, 2, 4, 4, 4, 3, 1, 2, 1, 2, 2, 4, 4, 2, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 1, 3, 2, 2, 4, 3, 3, 3, 4, 3, 3, 3, 2, 1, 3, 4, 2, 4, 3, 1, 1, 4, 2, 3, 2, 2, 1, 3, 2, 2, 2, 4, 2, 1, 4, 2, 3, 2, 1, 1, 2, 2, 3, 2, 3, 3, 2, 1, 1, 1, 4, 4, 4, 1, 1, 3, 4, 4, 4, 1, 4, 1, 1, 1, 3, 1, 1, 1, 3, 3, 2, 2, 1, 4, 1, 4, 2, 3, 3, 4, 2, 3, 4, 3, 4, 4"
"N300_M9_uniform_D8R0G9B1";"D8R0G9B1";300;9;"uniform";"random";"2, 2, 1, 3, 1, 3, 1, 4, 2, 3, 4, 4, 2, 4, 4, 2, 4, 1, 1, 2, 3, 4, 3, 3, 1, 1, 4, 2, 4, 3, 3, 4, 2, 4, 4, 1, 3, 1, 4, 2, 1, 1, 1, 4, 3, 1, 2, 2, 4, 1, 4, 3, 3, 2, 2, 4, 1, 1, 3, 4, 1, 1, 2, 1, 2, 4, 1, 1, 3, 2, 3, 2, 1, 2, 4, 1, 3, 4, 4, 2, 4, 1, 3, 4, 1, 1, 1, 3, 1, 2, 1, 4, 4, 3, 4, 3, 4, 4, 1, 3, 4, 2, 2, 2, 4, 1, 1, 3, 2, 2, 2, 3, 4, 4, 2, 4, 3, 3, 1, 2, 1, 4, 1, 3, 4, 3, 4, 3, 4, 4, 4, 3, 1, 2, 3, 3, 4, 1, 2, 2, 3, 4, 4, 4, 1, 2, 2, 3, 2, 2, 3, 4, 3, 1, 3, 1, 2, 1, 4, 3, 4, 2, 4, 3, 4, 3, 3, 3, 2, 4, 3, 3, 3, 2, 4, 3, 3, 2, 1, 1, 2, 3, 2, 1, 3, 1, 1, 4, 4, 2, 4, 3, 3, 2, 3, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 3, 4, 4, 1, 2, 1, 1, 3, 2, 2, 4, 3, 2, 1, 4, 4, 2, 2, 1, 3, 1, 1, 2, 2, 1, 3, 2, 4, 3, 2, 2, 3, 3, 3, 1, 4, 4, 1, 4, 3, 2, 1, 3, 3, 3, 2, 1, 2, 2, 3, 3, 4, 3, 2, 4, 4, 3, 2, 1, 1, 4, 3, 2, 4, 3, 1, 1, 1, 4, 4, 4, 4, 2, 1, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 3, 3, 2, 4, 4, 3, 1, 4, 1, 1, 3"
"N96_M4_uniform_N3G7O1X0";"N3G7O1X0";96;4;"uniform";"ace-exchange";"2, 3, 3, 2, 4, 2, 4, 1, 4, 2, 3, 1, 3, 1, 3, 4, 2, 1, 4, 1, 2, 2, 4, 1, 3, 2, 1, 4, 4, 4, 2, 1, 2, 4, 2, 3, 2, 3, 4, 1, 3, 1, 1, 1, 1, 4, 2, 3, 4, 1, 1, 1, 4, 3, 3, 3, 1, 2, 3, 4, 4, 3, 2, 4, 1, 3, 2, 4, 2, 1, 3, 4, 2, 3, 3, 3, 1, 2, 4, 2, 2, 4, 1, 4, 1, 3, 3, 1, 2, 1, 2, 4, 3, 4, 3, 2"
"N96_M4_uniform_N3G7O1X0";"N3G7O1X0";96;4;"uniform";"k-means-exchange";"1, 3, 3, 2, 3, 2, 3, 4, 2, 4, 2, 1, 3, 2, 1, 3, 4, 3, 4, 1, 1, 4, 4, 4, 2, 2, 4, 1, 2, 2, 4, 1, 2, 4, 1, 1, 3, 1, 3, 3, 3, 4, 2, 3, 4, 1, 1, 4, 1, 3, 3, 3, 1, 4, 3, 1, 3, 4, 3, 2, 2, 1, 1, 4, 4, 4, 4, 1, 3, 4, 2, 4, 2, 2, 4, 1, 4, 3, 3, 1, 4, 1, 1, 3, 2, 3, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2"
