"ID";"method";"file";"N";"M";"DIST";"dist_obj";"means_obj";"sd_obj"
"A2L4N1P6";"ace-exchange";"N60_M3_normal_A2L4N1P6";60;3;"normal";1322.61150268049;0.0375983150926803;0.0959853360761257
"A2L4N1P6";"k-means-exchange";"N60_M3_normal_A2L4N1P6";60;3;"normal";1312.14271199983;0.0144748335408166;0.26925147031921
"A2L4N1P6";"kplus";"N60_M3_normal_A2L4N1P6";60;3;"normal";1317.62834427407;0.023466004837823;0.012081090738766
"A2L4N1P6";"random";"N60_M3_normal_A2L4N1P6";60;3;"normal";1286.54521023575;0.447520966418377;0.184766713898732
"A3P5Y9W0";"ace-exchange";"N210_M2_normal_A3P5Y9W0";210;2;"normal";12747.0046260328;0.00894702967412489;0.0171302247471753
"A3P5Y9W0";"k-means-exchange";"N210_M2_normal_A3P5Y9W0";210;2;"normal";12673.6290690949;0.000360875990917539;0.115158692929234
"A3P5Y9W0";"kplus";"N210_M2_normal_A3P5Y9W0";210;2;"normal";12713.8223878694;0.000662002047250143;0.000383507912611936
"A3P5Y9W0";"random";"N210_M2_normal_A3P5Y9W0";210;2;"normal";12539.4666609832;0.277198007564775;0.140690576989973
"B0V1L8C3";"ace-exchange";"N60_M2_normal_B0V1L8C3";60;2;"normal";1018.6238020204;0.0407633191094661;0.141541956904281
"B0V1L8C3";"k-means-exchange";"N60_M2_normal_B0V1L8C3";60;2;"normal";1006.43533305201;0.00232964793747871;0.352985432288629
"B0V1L8C3";"kplus";"N60_M2_normal_B0V1L8C3";60;2;"normal";1006.50987062794;0.00909818893949745;0.00471512545870861
"B0V1L8C3";"random";"N60_M2_normal_B0V1L8C3";60;2;"normal";982.427103189376;0.49408118183246;0.151416566402844
"B9L0H1V6";"ace-exchange";"N210_M1_uniform_B9L0H1V6";210;1;"uniform";2432.84965815954;0.000485953944735273;0.000428530075273381
"B9L0H1V6";"k-means-exchange";"N210_M1_uniform_B9L0H1V6";210;1;"uniform";2423.11364857107;8.21702581532691e-07;0.0417882594696461
"B9L0H1V6";"kplus";"N210_M1_uniform_B9L0H1V6";210;1;"uniform";2426.79754982656;8.09232837351015e-07;6.50500642751517e-06
"B9L0H1V6";"random";"N210_M1_uniform_B9L0H1V6";210;1;"uniform";2379.36556936568;0.112273123341479;0.0271678627153122
"E1P2T5S4";"ace-exchange";"N60_M1_uniform_E1P2T5S4";60;1;"uniform";195.62828433956;0.0106059602228925;0.0014312032971715
"E1P2T5S4";"k-means-exchange";"N60_M1_uniform_E1P2T5S4";60;1;"uniform";194.30610630638;3.72712966054678e-05;0.0479315280634802
"E1P2T5S4";"kplus";"N60_M1_uniform_E1P2T5S4";60;1;"uniform";193.964386509033;2.13601277210262e-05;0.000469616771775982
"E1P2T5S4";"random";"N60_M1_uniform_E1P2T5S4";60;1;"uniform";177.721957684262;0.261248508188874;0.0504906846664892
"E1T5V8W7";"ace-exchange";"N30_M2_normal_E1T5V8W7";30;2;"normal";244.992700776534;0.098135612910001;0.251744025152376
"E1T5V8W7";"k-means-exchange";"N30_M2_normal_E1T5V8W7";30;2;"normal";243.426390093594;0.0077226687867254;0.274322887795217
"E1T5V8W7";"kplus";"N30_M2_normal_E1T5V8W7";30;2;"normal";242.145209997647;0.0334793989574476;0.0278280866037537
"E1T5V8W7";"random";"N30_M2_normal_E1T5V8W7";30;2;"normal";230.428180104349;0.549426809462221;0.320094398741012
"E9M0X7Y5";"ace-exchange";"N210_M2_uniform_E9M0X7Y5";210;2;"uniform";3810.36296232587;0.000844248264495778;0.00193560882553243
"E9M0X7Y5";"k-means-exchange";"N210_M2_uniform_E9M0X7Y5";210;2;"uniform";3784.915487947;4.52354766561081e-05;0.0547269950935692
"E9M0X7Y5";"kplus";"N210_M2_uniform_E9M0X7Y5";210;2;"uniform";3801.32694219484;7.39184108430047e-05;0.000199421751090889
"E9M0X7Y5";"random";"N210_M2_uniform_E9M0X7Y5";210;2;"uniform";3786.7608495393;0.0323287454250801;0.0448265937093905
"E9Z2X8L5";"ace-exchange";"N210_M4_normal-wide_E9Z2X8L5";210;4;"normal-wide";40160.1741585681;0.0182792218736022;0.058378972921459
"E9Z2X8L5";"k-means-exchange";"N210_M4_normal-wide_E9Z2X8L5";210;4;"normal-wide";40019.8892773775;0.00603643978528606;0.326940277399042
"E9Z2X8L5";"kplus";"N210_M4_normal-wide_E9Z2X8L5";210;4;"normal-wide";40077.1218427643;0.012048160788055;0.00589643908747994
"E9Z2X8L5";"random";"N210_M4_normal-wide_E9Z2X8L5";210;4;"normal-wide";39772.7622163568;0.510877602234727;0.329266361174191
"F1S2H7D4";"ace-exchange";"N120_M4_normal-wide_F1S2H7D4";120;4;"normal-wide";13126.6576088171;0.0507227798803698;0.218691256817992
"F1S2H7D4";"k-means-exchange";"N120_M4_normal-wide_F1S2H7D4";120;4;"normal-wide";13055.1544937764;0.0157388789839765;0.301444300330255
"F1S2H7D4";"kplus";"N120_M4_normal-wide_F1S2H7D4";120;4;"normal-wide";13081.9617933386;0.0371265401385634;0.00896470830037077
"F1S2H7D4";"random";"N120_M4_normal-wide_F1S2H7D4";120;4;"normal-wide";13007.7186659871;0.475865658747963;0.399752251093936
"F8G4Z1R0";"ace-exchange";"N60_M4_uniform_F8G4Z1R0";60;4;"uniform";459.606707839721;0.0166800767416135;0.00904233902495816
"F8G4Z1R0";"k-means-exchange";"N60_M4_uniform_F8G4Z1R0";60;4;"uniform";456.838087217433;0.00492334116424901;0.048552169663625
"F8G4Z1R0";"kplus";"N60_M4_uniform_F8G4Z1R0";60;4;"uniform";458.175703318092;0.00650497922324568;0.0160496321923388
"F8G4Z1R0";"random";"N60_M4_uniform_F8G4Z1R0";60;4;"uniform";442.090294981601;0.147706726763863;0.0474572851185203
"G3H6E1K8";"ace-exchange";"N210_M2_uniform_G3H6E1K8";210;2;"uniform";3800.73909047156;0.00113209125120195;0.00269375741905542
