"method";"N";"Objective";"D_Means";"D_SD"
"ace-exchange";30;1;0.0664841011310707;0.147883816766261
"kplus";30;0.993306938392422;0.0345828865650873;0.0128940689270118
"k-means-exchange";30;0.990285183113672;0.0101689561260851;0.288484432428406
"random";30;0.971879041411414;0.373450453712078;0.308723204881593
"ace-exchange";60;1;0.0270926345518197;0.0488754763334736
"kplus";60;0.996392255923666;0.00473852620101123;0.00287335609083188
"k-means-exchange";60;0.992941113505931;0.00308490904722328;0.18329004718416
"random";60;0.986388863953647;0.242229632936936;0.157143921958068
"ace-exchange";120;1;0.00780773480253621;0.0260263421776597
"kplus";120;0.997061036992641;0.00162990837943716;0.00100909943949833
"k-means-exchange";120;0.996861668604871;0.000899623354997933;0.177612617050491
"random";120;0.990123633588265;0.232283077566449;0.140444785776323
"ace-exchange";210;1;0.00460339653984037;0.01999484983921
"kplus";210;0.998467091449657;0.000819718053591154;0.000269489023267851
"k-means-exchange";210;0.997277025888968;0.000426668480463747;0.161131509101727
"random";210;0.996492591190367;0.110622387683269;0.115779968038983
